SN_ISPEZIONE,Altro
SN_SALTO,Presenza
SN_DISINF,Altro
VIA,Dati geografici
SUP_VAS_SED_FIN,Dati fisici
UID,Id
SN_DISINF_OZON,Manutenzione
VISIBLE,Altro
SUP_VAS_SED_PRIM,Dati fisici
UMID_MEDIA_RES,Dati fisici
SN_DISOLEAT,Manutenzione
SN_DIGEST_AEROB,Altro
SYMB,Altro
URCOD,Codice
SN_DISSAB,Manutenzione
T_RECAPITO,Tipo
Shape,Altro
URGRP,Codice
SN_ELETTRODIAL,Manutenzione
T_SCARICO,Tipo
TABELLA_VALORI_FILTRO,Tabelle
URI,Altro
SN_ENABLED,Altro
UBICAZIONE,Dati geografici
TARIFFA,Dati commerciali
UUID,Id
SN_EPIS_INQ,Altro
TEMPO_DI_ESECUZIONE,Altro
UUID,Id
SN_EQUALIZ,Manutenzione
TYPE,Tipo
VARIAZIONE,Dati fisici
WERKS,Altro
CODICE,Codice
CODICE_,Codice
COD_,Codice
DIM_,Dimensione
QUOTA,Quota
D_MAT,Materiale
D_MATERIALE,Materiale
D_CATEGORIA,Categoria
D_CAT,Categoria
D_FUNZIONE,Funzione
SUB_FUNZIONE,Funzione
TABELLA,Tabelle
COMUNE,Dati geografici
SN_VASCA_,Altro
DIST_,Distanza
NOTE,Descrizione
D_GESTORE,Altro
TENSIONE,Dati fisici
SN_VALORI,Valori
VALORE,Valori
SIST_,Sistema
RECAPITO,Recapiti
D_RECAP,Recapiti
MEDIA,Altro
AVG_,Altro
SN_CAT,Altro
D_STATO_,Stato
PORTING_,Id
CARICO,Dati fisici
MATRICOLA,Altro
MODELLO,Altro
PESO,Dati fisici
LUNG_,Lunghezza
DIAM_,Diametro
D_DIAM_,Diametro
ANNO_,Data e ora
DESCR,Descrizione
DATAORA_,Data e ora
DATA_,Data e ora
GLTRP,Data e ora
ERDAT,Data e ora
IEDD,Data e ora
ISDD,Data e ora
STRMN,Data e ora
LTRMN,Data e ora
ID_,Id
IDGIS,Id
VOLUME,Volume
VOL_,Volume
SN_DER_,Deroga
SN_PREL_,Prelievo
PORTATA,Portata
PORT_,Portata
PRES_,Pressione
PENDENZA,Pendenza
PROF_,Profondita
